job_role,title,description,tags,new_title
<br/>- Past experience of working in enterprise automation solutions or platform or frameworks</p>","['Solution Design', 'Solution Architect', 'Artificial Intelligence', 'Machine Learning', 'Automation', 'Agile', 'NLP']",devops automation architect artificial intelligence machine learning enterprise automation solutions yrs

artificial intelligence,Associate Director - Product Marketing - Retail Analytics & Artificial Intelligence   (10-14 yrs),"<p>EXPERIENCE: 10+ Years
<br/>
<br/>EDUCATION: MBA from a front line business school
<br/>
<br/>LOCATION: Bangalore, India
<br/>
<br/>PRIMARY RESPONSIBILITIES:
<br/>
<br/>- Develop/refine strategy - Develop a deep understanding of product/solution, buyer segments, and audience needs/pains, buying behavior/criteria/process, competitive landscape/positions and developing a marketing playbook for winning in chosen markets.
<br/>
<br/>- Go-to-market planning - Develop product positioning and messaging that differentiates product offering in the market. Identify suitable market segments and develop a marketing plan to fulfill marketing objectives.
<br/>
<br/>- Manage marketing programs -  develop strategy, tactics and manage marketing programs and campaigns that drive demand, generate leads, shape market perceptions, engage specific audiences like users, sponsors, influencers, advisors, customers etc.
<br/>
<br/>- 360-degree marketing execution - Leverage and direct all aspects of marketing, including digital marketing, social media marketing, content marketing, event marketing, search marketing, advertising, public relations, analyst relations, customer success marketing etc., to fulfill marketing goals.
<br/>
<br/>- Content and engagement strategy - study audience needs, develop personas and content/messaging needs, execute/communicate the value proposition, benefit, usage, best practices, business cases, ROI to ensure marketing success.
<br/>
<br/>- Sales enablement -  communicate the value proposition of the product portfolio to the sales, pre-sales, partnerships and other customer/market-facing teams, and develop engagement strategies and sales tools that support the selling process.
<br/>
<br/> - Market & competitive intelligence -  closely track competitive landscape, win-loss analysis, deal orchestration, track buying criteria, selection/evaluation processes, sales lifecycles and engagement/content needs to support market/competitive position.
<br/>
<br/>- Innovation and product development - develop inputs for product engineering and design based on market insights, user experiences, sales challenges, customer satisfaction, emerging technology trends, analyst reviews etc.
<br/>
<br/>- Thought leadership - represent the company in major industry forums, associations, events and tech media platforms, speak at events and influence the adoption of new technologies in business, develop peer networks and advisory forums to drive visibility and establish company position, author high-quality content for relevant industry audiences.
<br/>
<br/>- Manage product launches -  plan the launch of new products and releases, manage the cross-functional implementation of the plan
<br/>
<br/>- Marketing measurements - track effectiveness of marketing programs, identify gaps and areas of improvement; establish review mechanisms for continuous learning across cross-functional teams and agencies.
<br/>
<br/>- Organizational development - Support the development of internal and external marketing competencies, skills, teams, agencies/partners, consultants and resources to deliver and improve marketing capabilities and results.</p>","['Marketing', 'Product Marketing', 'Marketing Head', 'IT Marketing', 'IT Product Marketing', 'IT Marketing Head']",associate director product marketing retail analytics artificial intelligence yrs

artificial intelligence,Manager - Advance Analytics - Machine Learning & Artificial Intelligence - Insurance  (12-15 yrs),"<p><p>JD :<br><br>- Capability development &amp; Value creation through Business Adoption of AI, Deep Learning and Advanced Analytics solutions<br><br>- Responsible for Stakeholder Management &amp; Business Development for the AI &amp; Advanced Analytics vertical<br><br>- P&amp;L Ownership for Analytics vertical- Rigorously manage estimates, forecasts, and actuals.<br><br>- Innovation: Responsible for Artificial Intelligence &amp; Machine learning based product development &amp; deployment leveraging cloud &amp; in-house infrastructure.<br><br>- Leading Artificial Intelligence &amp; Advanced Analytics Centre of Excellence within designing, building, attracting, rewarding and retaining teams<br><br>- Resource Management : Managing adequate skills based resourcing levels for the team and ensuring effective work allocation<br><br>Responsibilities :&nbsp;<br><br>- Organizational &amp; Team Management : Strategic design and optimized delivery structure. Attract, recruit, develop and retain talent. Employee evaluations, succession planning, compensation, merit, and reward planning/execution. Build a collaborative, cohesive, credible, high performing organization.<br><br>- Capability Development : Responsible in increasing the internal skills capability within the AI &amp; Advanced Analytics team <br><br>- Service Delivery : Lead and provide direction to the Analytics Team. Service delivery responsibility for all projects in Analytics<br><br>- Leadership : Demonstrate character, clarity, courage and commitment to high-performance<br><br>- Stakeholder Management : Responsible for existing Stakeholder Management and identification of Business Development opportunities for Analytics<br><br>- Change Orientation : Champion a better, faster and simpler way of doing things. Build environment of trust, high performance and engagement by establishing clear goals and a commitment to feedback, development and recognition. Apply original thinking and continuous improvement to processes, products, systems or services and manage change to better serve customer needs<br><br>- Collaboration &amp; Communication : Connect, engage and communicate with others. Encourage open expression of ideas; communicate effectively at all levels and build strong relationships<br><br>- Compliance - To ensure that you understand and adhere to Code of Conduct and, where appropriate, comply with all relevant regulatory policies. This includes completion of any mandatory training requirements<br><br>Qualifications :<br><br>- Minimum of 12 years of Artificial Intelligence, Machine Learning, Predictive Analytics &amp; Statistical Modelling, Big Data &amp; Analytics<br><br>- Master's Degree in premier institutes like IIT, ISI, IISc etc with Mathematics, Computer Science, Econometrics, Statistics or equivalent work experience.<br><br>- 12+ years of experience in managing multiple, medium to large global cross-functional teams or projects, influencing senior level management and key stakeholders<br><br>- Technology skills : Python(Deep learning/Neural Networks, LSTM, CNN, RNN), R, SAS, JSON, Hadoop, Cloud Foundry, Pivotal, MatLabs, Tableau, Qlik, SAP Hana, Oracle, Spark, Greenplum, Cassandra, Amazon Web Services, Microsoft Azure, Google Cloud, Informatica, Angular JS, SQL, NOSQL<br></p></p>","['Analytics', 'Artificial Intelligence', 'Machine Learning', 'Statistical Modeling', 'Big Data', 'Python', 'SAS', 'Statistics', 'Predictive analytics']",manager advance analytics machine learning artificial intelligence insurance yrs

artificial intelligence,Leadership Role - Digital Transformation Consultant - Robotic Automation/Artificial Intelligence/Machine Learning (9-20 yrs),"<p>Job Title: Transformation Consultant -  Digital (Robotic Automation/ Artificial Intelligence/ Machine Learning) -  CGRLH vertical 
<br/>
<br/>Travel: Within India and Onshore as maybe required  Location: Gurgaon/ Hyderabad
<br/>
<br/>Summary of Role/Profile:
<br/>
<br/>What is the focus of the function-  
<br/>
<br/> The objective is to help client organizations realize /solve for their strategic business objectives through tech led transformational thinking. For each client, transformation or value definition is different and depends on multiple variables from maturity of their own processes or industry to the tenure and strength of their relationship with organisation. 
<br/>
<br/>The function is responsible to drive value to organisation run operations and then leading to larger end to end engagements. Through usage of advanced digital technologies like Robotics, Machine Learning and Artificial Intelligence. 
<br/>
<br/>Why does this job exist-  
<br/>
<br/>Running large-scale, complex operations across different clients gives us the unique access to insights that allow us to create value for our clients by improving their processes and creating meaningful business impact. With this ask for digital led transformative, insight led thinking from clients has sharply increased. To strengthen our focus and push on a few large and mature relationships we are now setting up a central team of consultants who can bring in this additional digital focus.
<br/>
<br/>This is a Fungible central pool of consultants focused towards Consumer Goods, Retail,  Life Sciences and Healthcare verticals who will work on different accounts from time to time hence ensuring best practices percolate across verticals
<br/>
<br/>How does the role add value-  
<br/>
<br/>As organisation takes the leap to becoming a Digital player, it is imperative to have a sound group of professionals who can function as trusted advisors to our esteemed clients and walk with them on the Digital led Transformation journey. Re-imagining the outcomes for the clients and then helping drive the same is a critical element of organisation's way-forward strategy.
<br/>
<br/>For the candidates in this role -  This role provides the opportunity of working across a range of challenges and client situations, interacting with the account teams (sales & operations) and front ending with clients. This will require candidates to be extremely self-driven, consultative and well networked with multiple functional teams in the organization 
<br/>
<br/>How is this role unique from others-  
<br/>
<br/>This role enables a dual hat of a skilled strategist and seasoned implementer so as to envision a pragmatic approach that can be implemented rapidly and effectively. The role is uniquely positioned to employ the best practices from the rich Six Sigma foundation, proven methodologies and diagnostic tools, and leverage the portfolio of digital solution assets to create a transformation roadmap that's cost-effective as well as easy to adopt and take forward Provides an avenue to drive end-to-end solutions and leverages internal and external multi-function perspective to customize solutions for our clients.
<br/>
<br/>What are the minimum prior qualifications to be an applicant for this role-  
<br/>
<br/>7-12 years of experience of running Tech led Transformation / Process Consulting projects.At least one full lifecycle implementation experience of Digital platforms like Robotics / Machine learning/ Artificial intelligence
<br/>
<br/>Specific Competence (Essential)
<br/>
<br/>-  Excellent communication -  verbal and written 
<br/>
<br/>-  Strong Presentation skills
<br/>
<br/>-  Consultative selling expertise
<br/>
<br/>-  Consulting project delivery -  timeline and milestone management, Stakeholder relationship management
<br/>
<br/>-  Creative thinking/innovative mind-set
<br/>
<br/>-  Strong business acumen and understanding of business issues across focus sectors 
<br/>
<br/>-  Ability to engage senior client management on offerings, emerging issues in focus  Specific Competence (Desirable)
<br/>
<br/>-  Judgement, personal effectiveness, team handling
<br/>
<br/>-  Competence in handling Change Management 
<br/>
<br/>-  Demonstrated competency in navigating through structured as well as unstructured client business settings
<br/>
<br/>Key Roles and Responsibilities
<br/>
<br/>-  Bring in perspectives of Advanced Technologies -  Robotics, M/c learning, Cognitive Computing, Natural Language Processing, Analytics etc. to enhance the transformation opportunity for existing / new clients
<br/>
<br/>-  To bring industry knowledge, world class capabilities, innovation and cutting-edge technology to our clients
<br/>
<br/>-  Partner with multi-function teams and onboard all important stakeholders to constantly enrich the engagement for  clients
<br/>
<br/>-  Lead right from business diagnostic and initial opportunity assessment all the way to planning and strategy development through implementation 
<br/>
<br/>-  Act as a true visionary for the client and help them drive large meaningful impact and long term benefits from the organisation association Knowledge, Experience and Education
<br/>
<br/>Essential
<br/>
<br/>-  MBA / CA / BTech/ MCA with 8+ years of experience
<br/>
<br/>-  Prior solution design, consulting experience or IT domain consulting experience, Process consulting experience preferred over business/ strategy consulting
<br/>
<br/>-  Proven track record of driving transformation in client operations
<br/>
<br/>-  Atleast one full lifecycle implementation experience of Digital platforms like Robotics / Machine learning/ Artificial intelligence
<br/>
<br/>-  Demonstrable client / stakeholder Management and Project Management Skills
<br/>
<br/>Range of experience can be
<br/>
<br/>-  Experience with F&A processes 
<br/>
<br/>-  Global Exposure
<br/>
<br/>-  Digital- robotics, AI, M/c Learnings</p>","['Digital Transformation', 'Transformation', 'Robotics', 'Automation', 'Artificial Intelligence', 'Machine Learning', 'IT Transformation', 'IT Consulting']",leadership role digital transformation consultant robotic automation artificial intelligence machine learning yrs

artificial intelligence,Head - Artificial Intelligence - IT  (20-25 yrs),"<p>Roles & responsibilities
<br/>
<br/>- You will lead and drive the engineering lifecycle - ideation, architecture, design, development, testing, PoVs / Pilots. Have a pulse of the market
<br/>
<br/>- Evaluate buying or partnering with companies to rollout functionality rather than building on our own
<br/>
<br/>- Build crowdsourcing (internal / external) as another medium for engineering
<br/>
<br/>- You will lead market facing activities- analyst / advisor briefings and partner meetings
<br/>
<br/>Skills & Experience :
<br/>
<br/>- Bachelor's degree in Engineering from a reputed institute
<br/>
<br/>- Should have experience in shaping and closing multi-million dollar deals
<br/>
<br/>- Product engineering skills, product management, ability to lead large teams, handled market-facing roles
<br/>
<br/>- Prior experience in technical sales or IT industry a strong plus
<br/>
<br/>- Excellent interpersonal skills to create and maintain profitable relationships with existing and potential customers
<br/>
<br/>- Deep understanding and execution of negotiating and closing in a win-win long-term focused environment
<br/>
<br/>- Be agile in thought, engineering and deployment as the market is still evolving
<br/>
<br/>- Excellent verbal and written communication skills.
<br/></p>","['Artificial Intelligence', 'IT Product Management', 'Technical Architect']",head artificial intelligence yrs

artificial intelligence,Head - Data Science & Emerging Artificial Intelligence (10-20 yrs),"<p>Basic Function / Job Responsibilities
<br/>
<br/>Operational/Executive Management
<br/>
<br/>-  Define CoE strategy and roadmap to develop a vibrant DS & AI ecosystem in the country and realize the vision and objectives of
<br/>
<br/>-  Identifies opportunities of collaboration. Adopt a - String of Pearls-  approach to build a powerful eco-system of stakeholders across Innovators, Technology players, ISPs, Academia & Government for the enable the CoE to be the catalyst for innovation, research, adoption, and skill & talent development 
<br/>
<br/>-  Identify and raise funds from Government industry partners to grow the CoE towards a self-sustaining basis over five (5) years of its operation
<br/>
<br/>-  Implements common COE vision, oversees the execution of the CoE business strategy, and manages all resources including people, process, infrastructure, to deliver the agreed deliverables and create value to the industry, government, and academia partners 
<br/>
<br/>-  Lead efforts to develop DS & AI policies
<br/>
<br/>-  Manages relationship with external agencies, partners, and government as appropriate to enable smooth operations and profitable growth of CoE activities
<br/>
<br/>-  Explores alliances with international organizations & bodies to enhance the capabilities of DS & AI in the country 
<br/>
<br/>-  Represents the CoE to the public and outside groups, organizations, and agencies; responds to a wide variety of questions and comments
<br/>
<br/>Managerial Excellence
<br/>
<br/>-  Sets direction and vision for the business, team and helps them achieve/excel
<br/>
<br/>-  Identify, build, and nurture a collaborative network of organizations towards developing a vibrant DS & AI ecosystem
<br/>
<br/>-  Defines & manages CoE's positioning both externally and internally
<br/>
<br/>-  Promotes a mindset within CoE for sustained success, profitable growth and diversity
<br/>
<br/>-  Continually enhances own skills and builds knowledge in all aspects of the organization, the business and information system
<br/>
<br/>Knowledge, Skills,
<br/>
<br/>Qualifications and Experience
<br/>
<br/>-  Management degree (MBA - Strategy / Systems/ Marketing/ General) from Tier-1 institute) with understand of technology
<br/>
<br/>-  Overall experience of over 20 yrs (Strategy Development, Program Management, Business Management experience) of which at least 4 years in building an ecosystem integrating various stakeholders including industry, academia, and government
<br/>
<br/>-  Led programs with at-least one project of revenue of over TCV $20M USD spread over multiple geographies and domains
<br/>
<br/>-  Appreciation of deep technology areas like Data Science, AI and associated products
<br/>
<br/>-  Project / Program Management Process (PMP)
<br/>
<br/>-  Talent Management process (recruitment/selection, performance management, coaching, reward/ recognition)</p>","['Data Science', 'Artificial Intelligence', 'IT Project Management', 'PMP']",head data science emerging artificial intelligence yrs

machine learning,Senior Data Scientist - Machine Learning  (6-11 yrs),"<p>PhD/Masters in quantitative field with strong exp. in applied machine learning.
<br/>
<br/>Expertise in developing models/algorithms in two of the areas like time series, sensor processing, optimization/operations research, deep learning, applied mathematics, NLP/text analytics.
<br/>
<br/>Exp. in building ML models/algorithms on big data environment.
<br/>
<br/>Adept with R/Python, Hadoop, Tensorflow, Spark.
<br/>
<br/>For detailed discussion, connect with me at +91-8884558455
<br/>
<br/>Shwetha K
<br/>Practice Lead- (Engineering, Process, Infrastructure) Analytics
<br/>Rinalytics Advisors</p>","['Data Scientist', 'Machine Learning', 'Data Science', 'Data Management', 'Big Data', 'Python']",senior data scientist machine learning yrs

machine learning,Applied Machine Learning Scientist - Energy Sector (4-8 yrs),"<p>PhD/Masters in any quantitative field with 4-8 yrs relevant experience in building Machine Learning algorithms/models.
<br/>
<br/>Expertise in innovating and building applications using Machine-Learning methods in two or more of these areas, viz., time series analysis / sensor processing, AI/Deep Learning, optimization/operations research, text analytics/NLP.
<br/>
<br/>Experience in data mining/deep learning/predictive modeling tools such as Python, Spark, Tensorflow, Keras, MLlib and the likes.
<br/>
<br/>Experience in deploying solutions in Hive, Spark or other hadoop technologies.
<br/>
<br/>For further detailed discussion, call me at +91-8884558455.
<br/>
<br/>Shwetha K
<br/>
<br/>Practice Lead- EPI Analytics
<br/>
<br/>Rinalytics Advisors</p>","['Machine Learning', 'Business Intelligence', 'Artificial Intelligence', 'NLP', 'data mining', 'Python', 'Data Analytics']",applied machine learning scientist energy sector yrs

machine learning,Data Scientist - Machine Learning - Oil & Gas  (4-10 yrs),"<p>- BE/MS/PhD in Mechanical/OR/IE/computer science/EE/chemical with 4-10 yrs. expertise in building Machine Learning algorithms/models. 
<br/>
<br/>- An ideal fitment would apply his/her Machine Learning expertise at a cutting edge Industrial Analytics specialized Data Science organization; primarily, in any of the following areas-automotive/energy/oil & gas/aerospace/marine/chemical.
<br/>
<br/>- Experience in research and application of building algorithms/models in predictive models, Time-series, Optimization, Neural Networks, Computer Vision. 
<br/>
<br/>- Working knowledge of R/Python. 
<br/>
<br/>Shwetha K
<br/>
<br/>+91-8884558455
<br/>
<br/>Rinalytics Advisors</p>","['Data Scientist', 'Data Science', 'Data Management', 'Predictive Modeling', 'Python', 'Machine Learning']",data scientist machine learning oil gas yrs

machine learning,Assistant Vice President - Machine Learning - US Credit Cards Portfolio - BPO/KPO (7-12 yrs),"<p>Client/Location : 
<br/>
<br/>Our client is one of the NASDAQ listed BPO/KPO company and this position will be based out of Gurgaon. 
<br/>
<br/>Role Requirement : 
<br/>
<br/>- The candidate is expected to lead a team of 10-15 analysts working on portfolio risk reporting and analytics in Customer Management and Authorizations work functions for US Credit Cards portfolio of a Top Global Bank 
<br/>
<br/>- 7+ years of experience in Machine Learning is must 
<br/>
<br/>- Candidate is expected to bring in a consultative mindset and problem-solving approach and drive analytical throughput for the team 
<br/>
<br/>- Experience in Credit card/ banking domain with knowledge across customer lifecycle is must 
<br/>
<br/>- Candidate should have excellent communication skills to interact with senior clients 
<br/>
<br/>- Candidate should have excellent people management skills and must have team lead experience of 10+ size team for at least 2 years in similar domain 
<br/>
<br/>- Candidate should be open to travel to client locations (US) as required for short-term visits 
<br/>
<br/>Expected education / Tool Experience : 
<br/>
<br/>- Experience using SAS to analyze and solve business problems 
<br/>
<br/>- Demonstrated ability to synthesize, prioritize and drive results with a high sense of urgency 
<br/>
<br/>- Strong sense of accountability and decisiveness in a strong work ethic culture 
<br/>
<br/>- Experience working in a team of analysts with a common goal and will have a strong understanding of the cards business dynamics that will drive the analyses</p>","['SAS', 'Machine Learning', 'Analytics', 'Statistics', 'Risk Analytics']",assistant vice president machine learning us credit cards portfolio bpo kpo yrs

machine learning,Associate - Asset Management - Strategy & Algorithm - High Frequency Trading - Machine Learning - Investment Management (1-6 yrs),"<p>Associate - Asset Management - Strategy & Algorithm - High Frequency Trading - Machine Learning 
<br/>
<br/>About Our Client : 
<br/>
<br/>- Our Client is one of the global quantitative investment Management Company (HQ: New Jersey,US). The company builds quant-based alternative investment products which are optimized for risk and return. They have set up their venture in June 2008 and has two products in the market since May 2009- I-Alpha (a market neutral fund focused on producing alpha from Indian markets using arbitrage) and Enhanced Index. 
<br/>
<br/>- They are registered as a broker (automated trading) and PMS provider. They have a fully automated trading system that is capable of analysing real time granular market data and produce thousands of trades with very low latency. 
<br/>
<br/>- The leadership team is looking for talented, ambitious, self-directed candidates for quantitative trading roles. If you- re eager to make an impact in a niche Quantitative and Algorithmic Automated Trading in USA and other emerging markets and have a proven track record of excellence, we have a unique pioneering opportunity waiting for you! You will be part of a team of very select professionals from the best institutes (IIT/IIM/Ivy League) in creating proprietary innovative products. Based on the quantitative analysis of financial market data you will be expected to research and design innovative investment strategies like Arbitrage, long/short, statistical arbitrage, volatility arbitrage, market-making algorithms etc. 
<br/>
<br/>Position Title : Associate (Asset Management) 
<br/>
<br/>Work Experience : 1-6 years 
<br/>
<br/>Responsibilities : 
<br/>
<br/>- Design and implement mathematical models for fundamental valuation of securities. The person will need to understand latest research in quantitative finance and implement the same. 
<br/>
<br/>- Design, back-testing and implementation of high-frequency trading strategies on international exchanges. Work as part of the market-making team to determine the signals and trading strategies to go live with. 
<br/>
<br/>- Conduct performance attribution of live portfolios. 
<br/>
<br/>Required Skills : 
<br/>
<br/>- Strong candidates should have 3-6 years of work experience and successful track record in quantitative analysis preferably in the capital markets domain. 
<br/>
<br/>- Post-Graduate degree in statistics, finance, mathematics, engineering (Computer Science preferred) or other quantitative or computational disciplines 
<br/>
<br/>- Experience in using some or all of the following packages: R, MATLAB, SPSS, CART, C# .Net 
<br/>
<br/>- Good written and oral communication skills. 
<br/>
<br/>- Strong experience working both independently and in a team-oriented collaborative environment. 
<br/>
<br/>- Entrepreneurial, self-motivated individual - high energy, high activity levels - passion for working with an innovative, small but rapidly growing company. 
<br/>
<br/>Only Candidates Authorized To Work In USA Shall Be Eligible For This Position.</p>","['Machine Learning', 'HFT', 'Algorithmic Trading', 'Asset Management', 'Quant', 'Trading']",associate asset management strategy algorithm high frequency trading machine learning investment management yrs

machine learning,DevOps Automation Architect - Artificial Intelligence/Machine Learning - Enterprise Automation Solutions  (10-15 yrs),"<p>Position: DevOps Automation Architect(AI/ML)
<br/>
<br/>Location: Greater Noida
<br/>
<br/>Experience range : 10-14 years
<br/>
<br/>- Strong understanding of SDLC lifecycle and past experience of implementing automation solutions in areas like DevOps, Infrastructure automation, IP operations automation, robotic automation, cognitive computing, etc 
<br/>
<br/>- Expertise in architecting and designing automation solutions along with standards/guidelines 
<br/>
<br/>- Possess technical knowledge in following (two or more) areas - Artificial Intelligence / Machine Learning / NLP, RPA, DevOps, Infrastructure automation, IT Operations, Service Desk, Analytics, etc 
<br/>
<br/>  Expertise or knowledge in one or more of the following tools in each category   - 
<br/>
<br/>- Configuration Management and ARA: Chef, Puppet, Ansible, CA Release Automation, CA Agile Designer, XL Deploy, Jenkins, TFS, Octopus Deploy, etc 
<br/>
<br/>Cloud hosting solutions : AWS, Azure, Google Cloud, etc 
<br/>
<br/>IT operations and Service Desk : ServiceNow, AppDynamics, Dynatrace, Splunk, Nagios, Zabbix, Vistara, etc 
<br/>
<br/>RPA : UIPath, Automation Anywhere, BluePrism, WorkFusion, Sikuli, etc 
<br/>
<br/>- AI based tools for automation using Machine Learning, NLI, NLP, etc 
<br/>
<br/>- Provide technical leadership and guidance to team 
<br/>
<br/>- Possess strong communication and presentation skills 
<br/>
<br/>  Optional Skills (good to have)  : 
<br/>
<br/>- Prior consulting, advisory, or professional services experience on automation 
<br/>
<br/>- Past experience of working in enterprise automation solutions or platform or frameworks</p>","['Solution Design', 'Solution Architect', 'Artificial Intelligence', 'Machine Learning', 'Automation', 'Agile', 'NLP']",devops automation architect artificial intelligence machine learning enterprise automation solutions yrs

machine learning,Assistant Manager/Manager - Machine Learning - Consulting Firm  (4-9 yrs),"<p>Job Description :
<br/> 
<br/>6+ years of relevant work experience in machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, GBM, etc.
<br/>
<br/>Must to have experience with common statistical tool, such as R and Python. Excellence in at least one of these is highly desirable
<br/>
<br/>Great communication skills
<br/>
<br/>Good applied statistics skills, such as distributions, statistical testing, regression, etc.
<br/>
<br/>Good scripting and programming skills
<br/>
<br/>Responsibilities :
<br/>
<br/>End to end forecast process design which includes development of data extraction and transformation logic & build and deployment of predictive models.
<br/>
<br/>Use of adv. analytics techniques and machine learning algorithms to forecast key business metrics.
<br/>
<br/>Building Monthly, Bi-Monthly & Quarterly Revenue forecasting models for product groups, product sub-groups and profit centers using Regression Modeling,
<br/>
<br/>Time Series, ARIMA, GBM, decision Tree, Random Forest, Neural Net etc.
<br/>
